district,total,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
Newcastle-under-Lyme,102813,27529,13094,16098,3976,14874,23121,4121,2553,7961,2273,569,5095
South Staffordshire,90506,21699,12597,14973,3631,11356,22707,3543,2550,2571,1164,179,1217
Stafford,108626,22150,13804,17192,3751,14057,32887,4785,2861,5225,1885,453,2875
Staffordshire Moorlands,81106,21560,10406,13005,3369,9943,19255,3568,2064,2062,977,167,906
Tamworth,61467,16467,10713,10954,2283,7682,10706,2662,1786,1660,802,148,702
North Warwickshire,51049,14253,7800,8551,2091,6079,10096,2179,1346,1224,537,93,581
Nuneaton and Bedworth,101244,28384,15829,16561,4825,11760,18801,5084,2884,2799,1324,259,1198
Rugby,80689,15778,10707,12896,4238,9455,22735,4880,2434,2131,918,158,1046
Stratford-on-Avon,100042,19345,11971,15619,3619,11712,33396,4380,2641,2466,1057,122,1266
Warwick,114051,18691,11539,14527,3770,16392,43836,5296,2690,9998,2284,369,7325
Birmingham,828363,233835,110158,113967,17654,107913,190335,54501,26194,78440,20673,7983,49603
Coventry,254106,60799,33782,35777,10256,36184,58566,18742,6705,29330,7572,2928,18775
Dudley,253421,75980,36286,42371,8888,30056,48584,11256,7369,7667,3095,742,3783
Sandwell,241829,85040,34723,35543,6451,25245,37151,17676,7177,10350,3522,1260,5520
Solihull,167493,38035,22790,26933,5715,19597,47783,6640,5263,5216,2261,384,2533
Walsall,213123,71839,31117,32616,6365,23022,35989,12175,6262,8082,2863,933,4249
Wolverhampton,200047,62467,28187,29790,5497,21199,39021,13886,5854,11178,3876,1411,5864
Bromsgrove,77107,16413,9875,12191,3139,9056,23551,2882,2264,2196,900,149,1132
Malvern Hills,62219,12637,6957,9636,2385,7068,21113,2423,2009,1693,632,93,961
Redditch,67656,16996,10683,11508,2537,8111,14007,3814,1927,2203,972,195,1026
Worcester,80291,17116,10235,11928,3116,11644,22211,4041,2012,5246,2060,558,2616
Wychavon,97039,21458,12694,15170,3912,11241,27870,4694,2523,2348,1128,133,1077
Wyre Forest,81190,22579,11553,13076,3058,9258,17916,3750,1934,1986,851,161,970
Bedford,125871,25645,17313,19129,4939,14882,35417,8546,3810,6286,2370,546,3346
Central Bedfordshire,204602,39644,30583,34714,9623,25869,55793,8376,5869,6836,2628,466,3713
Luton,156445,36953,22813,22720,5151,17332,34814,16662,4951,13411,4601,2152,6622
